grid_type,grid_id,age0to15,age15to65,age65plus,total,p_age0to15,p_age15to65,p_age65plus,d_age0to15,d_age15to65,d_age65plus,longitude,latitude
hex_10000km2,518,822038.9415304497,3017151.214779354,772423.8822361905,4611614.038545994,0.17825406347093872,0.6542505919967748,0.1674953445322865,0.010789880160799042,-0.004478081755772023,-0.006311798405026964,4.699443360792917,50.60285195766341
hex_10000km2,538,727008.9483080457,2928780.391188904,822066.397595073,4477855.737092023,0.16235649181055903,0.654058675211116,0.1835848329783249,-0.005107691499580652,-0.004669998541430798,0.009777690041011422,5.374420282065636,51.469917066058926
hex_10000km2,478,607124.0450536736,2915056.1729772366,871754.7663912901,4393934.9844222,0.1381731971925183,0.6634272430775542,0.19839955972992743,-0.029290986117621376,0.00469856932500734,0.024592416792613953,9.281667265908363,49.049003497138244
hex_10000km2,562,536170.791665226,2754946.80692721,816450.8210090867,4107568.4196015224,0.13053240674131977,0.6707001626023966,0.19876743065628377,-0.03693177656881991,0.011971488849849776,0.024960287718970298,13.960715226719286,52.33177614135238
hex_10000km2,535,712070.3609324459,2461342.978868488,730548.3716203863,3903961.71142132,0.18239686082197806,0.6304731349356354,0.18713000424238654,0.014932677511838383,-0.028255538816911452,0.01332286130507307,0.7655528941253664,51.195222924361794
hex_10000km2,537,629700.752279587,2474393.654676279,734119.4479087264,3838213.8548645927,0.1640608825069759,0.6446732121349118,0.19126590535811225,-0.0034033008031637835,-0.014055461617635046,0.017458762420798773,3.8326912481690374,51.39859428269071
hex_10000km2,455,522399.56027394434,2552080.010107778,716616.2322088158,3791095.8025905383,0.13779645450188238,0.6731773985674238,0.18902614693069383,-0.0296677288082573,0.014448724814876912,0.015219003993380359,11.461297281458044,48.204470036552436
hex_10000km2,519,534983.3073329795,2487912.62719968,752525.1750271576,3775421.1095598172,0.14170162527786315,0.6589761923246094,0.19932218239752753,-0.025762558032276534,2.475185720625106e-4,0.02551503946021405,6.215796006892897,50.66274386803341
hex_10000km2,517,686775.432189442,2352991.1630077306,627069.8091970437,3666836.4043942164,0.18729372037608027,0.6416951572172631,0.17101112240665653,0.019829537065940595,-0.017033516535283733,-0.0027960205306569452,3.187224548314225,50.52303852103896
hex_10000km2,147,582841.4717767525,2428575.5840599756,606275.9472624841,3617693.003099212,0.16110860464872026,0.6713050504781525,0.1675863448731273,-0.00635557866141942,0.012576376725605631,-0.006220798064186184,14.436677971897677,40.56032922735347
hex_10000km2,520,475003.52570671303,2334156.9417892196,717852.2858397727,3527012.753335705,0.13467587415369395,0.6617943015889776,0.2035298242573286,-0.03278830915644573,0.0030656278364307177,0.029722681320015126,7.735115534764865,50.702638843648714
hex_10000km2,210,540566.3341939354,2235339.1697729817,633478.5615810095,3409384.0655479264,0.15855249036223212,0.6556431093701781,0.1858044002675898,-0.008911692947907557,-0.003085564382368733,0.011997257330276317,1.5960036605402332,41.99145947122966
hex_10000km2,427,486220.8449859769,2213339.219520582,603149.0833584581,3302709.1478650165,0.147218790156041,0.6701586850151063,0.18262252482885277,-0.02024539315409868,0.011430011262559492,0.008815381891539298,7.883653824027873,47.35609310245378
hex_10000km2,91,454457.00151937327,2140971.0487687094,629216.8974760174,3224644.9477641,0.14093241546933222,0.6639400874980711,0.1951274970325967,-0.026531767840807463,0.0052114137455242515,0.02132035409528321,24.05852237186391,37.940188243311056
hex_10000km2,557,562680.6503019818,2074740.421172381,563259.5701402412,3200680.641614604,0.1758003104046438,0.6482185052132426,0.17598118438211358,0.008336127094504125,-0.010510168539304199,0.002174041444800101,6.074590126202275,52.332948505971274
hex_10000km2,385,434812.59390083235,2156799.0218840293,487915.9736880187,3079527.5894728806,0.1411945765276481,0.7003668449852096,0.15843857848714216,-0.026269606782491572,0.04163817123266278,-0.015368564450171318,25.65991513330186,44.526485319413624
hex_10000km2,645,491492.21161223727,2049450.020228653,516746.1401903077,3057688.3720311983,0.16073979811282824,0.6702612466904924,0.1689989551966793,-0.006724385197311444,0.011532572937945518,-0.004808187740634184,-3.7906374870640387,55.83622364375677
hex_10000km2,581,405878.5282213786,1988660.8654264854,598954.3927452867,2993493.7863931507,0.13558689517455794,0.664327707799459,0.200085397025983,-0.031877288135581744,0.005599034046912199,0.026278254088669517,10.018042613825775,53.23404720611647
hex_10000km2,574,542414.0831500331,1886369.3716919278,561557.9300601297,2990341.3849020908,0.1813886822048556,0.6308207421453624,0.18779057564978194,0.01392449889471592,-0.02790793160718441,0.013983432712468463,-2.7320542450470375,52.55626198147295
hex_10000km2,527,411742.1027417825,2050321.4991493532,477279.4682094766,2939343.0701006125,0.1400796344360336,0.6975441281439705,0.16237623741999588,-0.027384548874106074,0.03881545439142364,-0.011430905517317597,18.35344253855382,50.42094262621498
hex_10000km2,375,414548.3740642012,1885394.022034598,628727.6658809931,2928670.0619797925,0.1415483360334434,0.6437713986668967,0.21468026529965986,-0.02591584727669627,-0.014957275085650146,0.04087312236234639,12.081765275258542,45.68015641125369
hex_10000km2,134,462277.5165959934,1863907.4824360458,599563.6485615561,2925748.647593595,0.15800315484250946,0.6370702705336957,0.204926574623795,-0.009461028467630223,-0.021658403218851152,0.031119431686481513,-9.250786238140002,38.74277712524524
hex_10000km2,552,500198.0792196874,1889380.514251325,529431.364259765,2919009.9577307776,0.1713588122215721,0.6472675809986339,0.18137360677979394,0.003894628911432413,-0.011461092753912938,0.00756646384248047,-3.2636563096025384,51.64947242924043
hex_10000km2,528,414655.1944907043,2020904.1236697421,475288.57273376157,2910847.890894208,0.14245168762951843,0.6942664815951353,0.16328183077534622,-0.02501249568062125,0.03553780784258842,-0.010525312161967254,19.85384287667464,50.30116873015948
hex_10000km2,428,412903.60612885916,1875238.6304730922,490348.95101210807,2778491.1876140595,0.14860713180214435,0.6749125708343143,0.17648029736354123,-0.018857051507995326,0.016183897081767484,0.0026731544262277585,9.305028489856058,47.37444834420074
hex_10000km2,553,487783.9917678517,1766198.930682282,513504.7561650289,2767487.6786151626,0.1762551629541261,0.6381957702395551,0.18554906680631877,0.008790979643986424,-0.02053290351299175,0.0117419238690053,-1.72752066756583,51.81432544330094
hex_10000km2,477,386110.0961539915,1828146.199455971,548947.2596593351,2763203.555269297,0.13973277336651438,0.6616038821931101,0.1986633444403757,-0.0277314099436253,0.002875208440563215,0.024856201503062225,7.812560499235862,49.029935077210745
hex_10000km2,458,372979.44782385527,1763057.946434609,463139.17454681953,2599176.568805284,0.14349908055507593,0.6783140351426766,0.1781868843022474,-0.02396510275506375,0.019585361390129785,0.004379741364933937,15.786707280539357,48.062152694432896
hex_10000km2,597,431048.21025246254,1630592.7703556307,499122.32310145575,2560763.303709549,0.16832801752041726,0.636760440917572,0.19491154156201076,8.638342102775809e-4,-0.021968232834974843,0.02110439862469729,-0.5773879445638603,53.611894926396246
hex_10000km2,227,573814.0480668414,1807168.6204186527,172377.78367042914,2553360.452155923,0.22472896358300806,0.7077608721059241,0.06751016431106796,0.05726478027286838,0.04903219835337724,-0.10629697862624551,28.545904249441797,40.604715852661805
hex_10000km2,300,333836.1311964574,1567755.0038807995,589977.5528198581,2491568.687897115,0.1339863246869647,0.6292240753771815,0.2367895999358538,-0.03347785862317498,-0.029504598375365343,0.06298245699854033,10.683591908590307,44.02047840900354
hex_10000km2,540,346292.69192540157,1638187.056231937,506147.8122281225,2490627.560385461,0.1390383281038646,0.6577406764014141,0.2032209954947213,-0.02842585520627508,-9.879973511327522e-4,0.029413852557407832,8.468029085247727,51.55136722149189
hex_10000km2,559,327838.38133804494,1585909.154232716,535947.0657919598,2449694.6013627206,0.13382826624823943,0.6473905577252379,0.21878117602652272,-0.03363591706190025,-0.011338116027308942,0.04497403308920925,9.228398730149568,52.395258699241076
hex_10000km2,125,469815.5371315973,1732842.2375344015,239103.59856048072,2441761.3732264796,0.19240845656870856,0.7096689531314311,0.09792259029986025,0.024944273258568878,0.050940279378884235,-0.07588455263745322,27.250236853309406,38.268022928135146
hex_10000km2,374,356418.23404397815,1555712.4938112467,496999.3848390598,2409130.1126942844,0.1479447839558042,0.6457569417333768,0.206298274310819,-0.01951939935433547,-0.012971732019170013,0.03249113137350554,10.704359448026858,45.69825817934227
hex_10000km2,635,408299.89210812416,1551652.1213755016,407585.9614732453,2367537.974956871,0.17245758945664308,0.6553863709002462,0.17215603964311077,0.0049934061465033985,-0.003342302852300638,-0.0016511032942027049,12.582944566501231,55.716671111171465
hex_10000km2,505,357340.9705501943,1550180.046849379,408293.3683927784,2315814.385792352,0.15430466825946879,0.6693887283712454,0.1763066033692858,-0.013159515050670895,0.010660054618698567,0.002499460431972328,14.497069942749407,49.79908909330904
hex_10000km2,180,319445.1980546675,1494476.9703509938,463799.30335465213,2277721.4717603135,0.1402477001754686,0.6561280599405347,0.20362423988399672,-0.027216483134671093,-0.0026006138120121536,0.029817096946683247,12.577281497396049,41.4684973600874
hex_10000km2,558,321471.56083875487,1482171.7091554638,415480.64942383836,2219123.919418057,0.14486417726643114,0.6679084913582242,0.18722733137534472,-0.022600006043708543,0.00917981760567732,0.01342018843803125,7.650471560774996,52.37455719915769
hex_10000km2,588,335603.4177554696,1500225.1769978125,375459.5534972856,2211288.1482505673,0.15176828855207225,0.6784394779959801,0.16979223345194777,-0.01569589475806743,0.0197108042434333,-0.004014909485365703,21.198450842197914,52.71106855016589
hex_10000km2,241,312432.1337408661,1506100.7277159432,389403.96210957784,2207936.8235663874,0.14150410935952762,0.6821303542930192,0.1763655363474531,-0.02596007395061206,0.023401680540472314,0.0025583934101396366,-8.140172036531089,41.54067896811881
hex_10000km2,460,309289.64192936715,1505724.285287443,389629.40193596075,2204643.3291527713,0.14029010399982703,0.6829786321336986,0.17673126386647428,-0.027174079310312654,0.024249958381151737,0.002924120929160806,18.65247703402379,47.87342167500803
hex_10000km2,453,304111.62854994205,1444544.416345062,437177.2193508206,2185833.2642458244,0.13912846580037264,0.6608667001156062,0.2000048340840212,-0.028335717509767044,0.0021380263630593754,0.026197691146707724,8.571101865972523,48.204894252154084
hex_10000km2,341,286744.6855241743,1361069.110798893,499617.0661109693,2147430.8624340366,0.13352918156310717,0.6338127734907235,0.23265804494616935,-0.03393500174703251,-0.02491590026182333,0.05885090200885587,11.372228184269007,44.852920233514936
hex_10000km2,228,478871.6467872298,1491286.2275463936,167508.79200099787,2137666.666334621,0.2240160518610385,0.6976233717969919,0.07836057634196966,0.05655186855089883,0.03889469804444501,-0.09544656659534381,29.778534573794904,40.36060760818184
