year,age,mortality_sex_ratio
1909,83,1.17915
1909,84,1.18948
1909,85,1.14971
1909,86,1.15998
1909,87,1.14642
1909,88,1.15562
1909,89,1.20186
1909,90,1.20532
1909,91,1.17499
1909,92,1.19670
1909,93,1.22246
1909,94,1.21938
1909,95,1.25030
1909,96,1.33627
1909,97,1.46687
1909,98,1.48843
1909,99,1.32039
1909,100,1.04245
1910,0,1.25044
1910,1,1.08114
1910,2,1.04951
1910,3,1.02180
1910,4,1.03304
1910,5,1.02642
1910,6,0.95741
1910,7,0.94805
1910,8,0.94913
1910,9,1.00202
1910,10,1.01373
1910,11,0.98229
1910,12,0.98815
1910,13,0.88096
1910,14,0.89706
1910,15,0.94246
1910,16,0.98721
1910,17,1.07963
1910,18,1.06205
1910,19,1.21157
1910,20,1.20684
1910,21,1.16013
1910,22,1.27684
1910,23,1.17287
1910,24,1.19879
1910,25,1.11564
1910,26,1.14618
1910,27,1.09845
1910,28,1.14646
1910,29,1.09165
1910,30,1.20491
1910,31,1.08538
1910,32,1.12503
1910,33,1.16991
1910,34,1.15309
1910,35,1.24608
1910,36,1.18857
1910,37,1.25976
1910,38,1.12983
1910,39,1.18679
1910,40,1.22497
1910,41,1.13996
1910,42,1.24525
1910,43,1.23464
1910,44,1.24212
1910,45,1.40292
1910,46,1.29115
1910,47,1.29588
1910,48,1.24491
1910,49,1.32219
1910,50,1.31601
1910,51,1.32573
1910,52,1.33336
1910,53,1.26632
1910,54,1.32868
1910,55,1.38465
1910,56,1.30046
1910,57,1.34696
1910,58,1.30838
1910,59,1.31034
1910,60,1.30624
1910,61,1.35559
1910,62,1.33429
1910,63,1.33440
1910,64,1.28150
1910,65,1.35075
1910,66,1.32846
1910,67,1.28301
1910,68,1.23504
1910,69,1.26330
1910,70,1.25144
1910,71,1.20065
1910,72,1.21300
1910,73,1.25763
1910,74,1.21540
1910,75,1.19777
1910,76,1.19015
1910,77,1.20086
1910,78,1.25250
1910,79,1.17974
1910,80,1.14810
1910,81,1.22416
1910,82,1.19599
1910,83,1.18258
1910,84,1.16056
1910,85,1.16299
1910,86,1.17659
1910,87,1.11414
1910,88,1.17136
1910,89,1.23240
1910,90,1.09694
1910,91,1.19250
1910,92,1.28252
1910,93,1.04819
1910,94,0.98192
1910,95,0.94756
1910,96,1.50288
1910,97,1.09587
1910,98,0.56205
1910,99,1.06190
1910,100,1.36311
1911,0,1.22955
1911,1,1.07016
1911,2,1.00806
1911,3,1.02018
1911,4,1.02819
1911,5,1.07154
1911,6,0.99847
1911,7,1.08776
1911,8,0.95647
1911,9,0.96073
1911,10,1.04234
1911,11,1.08333
1911,12,0.96393
1911,13,0.90909
1911,14,0.94364
1911,15,0.94833
1911,16,1.03930
1911,17,1.12355
1911,18,1.18959
1911,19,1.27032
1911,20,1.26996
1911,21,1.06596
1911,22,1.32821
1911,23,1.21461
1911,24,1.12000
1911,25,1.20479
1911,26,1.18444
1911,27,1.16165
1911,28,1.17863
1911,29,1.22237
1911,30,1.13643
1911,31,1.24108
1911,32,1.25967
1911,33,1.20482
1911,34,1.21166
1911,35,1.29510
1911,36,1.29113
1911,37,1.08993
1911,38,1.15108
1911,39,1.21899
